# GeoID, y_pred, y_predprob
1,0,0.25645
2,0,0.17243
3,0,0.42510
4,0,0.09061
5,0,0.06914
6,0,0.18774
7,0,0.05693
8,0,0.03243
9,0,0.26845
10,0,0.24582
11,0,0.21451
12,0,0.47290
13,0,0.53531
14,0,0.62520
15,0,0.23016
16,0,0.03622
17,0,0.25578
18,0,0.45727
19,0,0.01580
20,0,0.40324
21,0,0.04847
22,0,0.27929
23,0,0.18078
24,0,0.03223
25,0,0.04677
26,0,0.41558
27,0,0.46652
28,0,0.35242
29,0,0.38678
30,0,0.02543
31,0,0.53209
32,0,0.20900
33,0,0.19798
34,0,0.23372
35,0,0.06983
36,0,0.02350
37,0,0.14537
38,0,0.13212
39,0,0.46248
40,0,0.47961
41,0,0.16055
42,0,0.33555
43,0,0.46836
44,0,0.50010
45,0,0.19925
46,0,0.09154
47,0,0.53694
48,0,0.36945
49,0,0.17795
50,0,0.30042
51,0,0.16640
52,0,0.41073
53,0,0.20792
54,0,0.46623
55,0,0.08112
56,0,0.07639
57,0,0.25877
58,0,0.11688
59,0,0.41866
60,0,0.05008
61,0,0.05367
62,0,0.12669
63,0,0.02469
64,0,0.37136
65,0,0.37086
66,0,0.15055
67,0,0.03253
68,0,0.03329
69,0,0.17346
70,0,0.02979
71,0,0.24215
72,0,0.02916
73,0,0.01888
74,0,0.23565
75,0,0.06360
76,0,0.17901
77,0,0.27249
78,0,0.25274
79,0,0.16842
80,0,0.03103
81,0,0.48994
82,0,0.01652
83,0,0.17257
84,0,0.22882
85,0,0.11826
86,0,0.15298
87,0,0.02489
88,0,0.02349
89,0,0.02733
90,0,0.33649
91,0,0.02780
92,0,0.14909
93,0,0.18041
94,0,0.32836
95,0,0.39464
96,0,0.40370
97,0,0.43396
98,0,0.47510
99,0,0.17268
100,0,0.06567
101,0,0.46496
102,0,0.06489
103,0,0.34173
104,0,0.43800
105,0,0.02256
106,0,0.06894
107,0,0.14338
108,0,0.07756
109,0,0.28796
110,0,0.02649
111,0,0.01719
112,0,0.10102
113,0,0.35994
114,0,0.05946
115,0,0.02147
116,0,0.02396
117,0,0.32193
118,0,0.30412
119,0,0.05361
120,0,0.01064
121,0,0.65098
122,0,0.01027
123,0,0.26409
124,0,0.01078
125,0,0.27080
126,0,0.16438
127,0,0.42407
128,0,0.03503
129,0,0.07240
130,0,0.03944
131,0,0.02371
132,0,0.01038
133,0,0.41291
134,0,0.18245
135,0,0.34315
136,0,0.21981
137,0,0.27561
138,0,0.38094
139,0,0.03589
140,0,0.01166
141,0,0.10105
142,0,0.03180
143,0,0.25715
144,0,0.28663
145,0,0.33303
146,0,0.34098
147,0,0.11918
148,0,0.32904
149,0,0.01081
150,0,0.17164
151,0,0.42414
152,0,0.07689
153,0,0.01221
154,0,0.02712
155,0,0.16507
156,0,0.01061
157,0,0.47377
158,0,0.05194
159,0,0.18540
160,0,0.01077
161,0,0.53168
162,0,0.39502
163,0,0.38263
164,0,0.15975
165,0,0.10796
166,0,0.03414
167,0,0.16904
168,0,0.01098
169,0,0.43531
170,0,0.38616
171,0,0.01052
172,0,0.05387
173,0,0.42327
174,0,0.01078
175,0,0.26356
176,0,0.29534
177,0,0.05390
178,0,0.08715
179,0,0.38213
180,0,0.25298
181,0,0.40941
182,0,0.02388
183,0,0.50290
184,0,0.40571
185,0,0.47939
186,0,0.02697
187,0,0.03123
188,0,0.27768
189,0,0.02842
190,0,0.14306
191,0,0.01118
192,0,0.01602
193,0,0.03756
194,0,0.04503
195,0,0.01263
196,0,0.19944
197,0,0.43680
198,0,0.44071
199,0,0.37694
200,0,0.33896
201,0,0.28984
202,0,0.49158
203,0,0.25520
204,0,0.44979
205,0,0.05461
206,0,0.17487
207,0,0.01110
208,0,0.37082
209,0,0.16643
210,0,0.39862
211,0,0.05801
212,0,0.06208
213,0,0.54748
214,0,0.19221
215,0,0.16079
216,0,0.10840
217,0,0.49202
218,0,0.04649
219,0,0.01771
220,0,0.14200
221,0,0.13565
222,0,0.23024
223,0,0.26672
224,0,0.07066
225,0,0.34915
226,0,0.25606
227,0,0.12777
228,0,0.55146
229,0,0.16236
230,0,0.48395
231,0,0.36032
232,0,0.42194
233,0,0.20937
234,0,0.27093
235,0,0.61907
236,0,0.42802
237,0,0.55049
238,0,0.14583
239,0,0.27698
240,0,0.51071
241,0,0.21760
242,0,0.51186
243,0,0.49731
244,0,0.01166
245,0,0.05037
246,0,0.54581
247,0,0.36210
248,0,0.65556
249,0,0.48192
250,0,0.38647
251,0,0.36778
252,0,0.52262
253,0,0.63710
254,0,0.05937
255,0,0.31950
256,0,0.01282
257,0,0.37483
258,0,0.44352
259,0,0.04062
260,0,0.60663
261,0,0.57886
262,0,0.63356
263,0,0.22030
264,0,0.30169
265,0,0.62649
266,0,0.04125
267,0,0.41237
268,0,0.49991
269,0,0.01296
270,0,0.39567
271,0,0.03722
272,0,0.01539
273,0,0.44186
274,0,0.01922
275,0,0.42034
276,0,0.50024
277,0,0.48236
278,0,0.49769
279,0,0.49587
280,0,0.59723
281,0,0.38547
282,0,0.01283
283,0,0.01548
284,0,0.48670
285,0,0.06447
286,0,0.56687
287,0,0.40879
288,0,0.42796
289,0,0.19924
290,0,0.38873
291,0,0.04622
292,0,0.11303
293,0,0.01192
294,0,0.25135
295,0,0.23888
296,0,0.01088
297,0,0.15428
298,0,0.43910
299,0,0.01288
300,0,0.24440
301,0,0.19617
302,0,0.01370
303,0,0.17405
304,0,0.27756
305,0,0.50033
306,0,0.09913
307,0,0.01245
308,0,0.36905
309,0,0.01319
310,0,0.42693
311,0,0.34762
312,0,0.04096
313,0,0.47835
314,0,0.51802
315,0,0.11108
316,0,0.04456
317,0,0.01918
318,0,0.01372
319,0,0.18058
320,0,0.35034
321,0,0.24897
322,0,0.23103
323,0,0.31703
324,0,0.24917
325,0,0.46669
326,0,0.16562
327,0,0.11575
328,0,0.47296
329,0,0.12918
330,0,0.01211
331,0,0.38861
332,0,0.01960
333,0,0.26087
334,0,0.11416
335,0,0.53669
336,0,0.01329
337,0,0.43038
338,0,0.01515
339,0,0.01530
340,0,0.16987
341,0,0.39195
342,0,0.35289
343,0,0.29892
344,0,0.01164
345,0,0.01155
346,0,0.01147
347,0,0.01312
348,0,0.47946
349,0,0.01248
350,0,0.29663
351,0,0.01312
352,0,0.53469
353,0,0.22783
354,0,0.20592
355,0,0.07955
356,0,0.66943
357,0,0.35463
358,0,0.31380
359,0,0.01319
360,0,0.01084
361,0,0.01571
362,0,0.02888
363,0,0.01090
364,0,0.01219
365,0,0.14431
366,0,0.23109
367,0,0.54758
368,0,0.01918
369,0,0.02982
370,0,0.01136
371,0,0.01539
372,0,0.32518
373,0,0.01144
374,0,0.01134
375,0,0.02835
376,0,0.39318
377,0,0.30201
378,0,0.61043
379,0,0.04205
380,0,0.01161
381,0,0.11371
382,0,0.31485
383,0,0.36679
384,0,0.22523
385,0,0.55078
386,0,0.01165
387,0,0.01130
388,0,0.34269
389,0,0.01391
390,0,0.22182
391,0,0.03195
392,0,0.46610
393,0,0.01381
394,0,0.01114
395,0,0.01153
396,0,0.15994
397,0,0.43990
398,0,0.24841
399,0,0.03314
400,0,0.03150
401,0,0.01786
402,0,0.00990
403,0,0.01761
404,0,0.08638
405,0,0.21174
406,0,0.11528
407,0,0.22396
408,0,0.06322
409,0,0.46423
410,0,0.55961
411,0,0.65337
412,0,0.27587
413,0,0.41356
414,0,0.27049
415,0,0.13408
416,0,0.34766
417,0,0.23235
418,0,0.12936
419,0,0.04955
420,0,0.31046
421,0,0.40149
422,0,0.19828
423,0,0.27544
424,0,0.48419
425,0,0.12787
426,0,0.32654
427,0,0.57481
428,0,0.38371
429,0,0.20387
430,0,0.35569
431,0,0.21604
432,0,0.40436
433,0,0.57521
434,0,0.27573
435,0,0.34260
436,0,0.24859
437,0,0.50012
438,0,0.46501
439,0,0.11093
440,0,0.01692
441,0,0.26028
442,0,0.05541
443,0,0.04016
444,0,0.40747
445,0,0.20709
446,0,0.11327
447,0,0.13028
448,0,0.21550
449,0,0.10599
450,0,0.46533
451,0,0.26472
452,0,0.41744
453,0,0.17284
454,0,0.51009
455,0,0.47616
456,0,0.14207
457,0,0.01840
458,0,0.38010
459,0,0.19017
460,0,0.02633
461,0,0.24436
462,0,0.03112
463,0,0.25362
464,0,0.10926
465,0,0.51101
466,0,0.59195
467,0,0.19884
468,0,0.26978
469,0,0.19410
470,0,0.38539
471,0,0.47076
472,0,0.05126
473,0,0.11359
474,0,0.02357
475,0,0.10739
476,0,0.21124
477,0,0.25913
478,0,0.09804
479,0,0.27607
480,0,0.45378
481,0,0.19311
482,0,0.26042
483,0,0.60272
484,0,0.03366
485,0,0.31878
486,0,0.24951
487,0,0.50954
488,0,0.12196
