# GeoID, y_pred, y_predprob
1,1,0.72000
2,1,0.73000
3,0,0.17000
4,0,0.12000
5,1,0.82000
6,0,0.46000
7,0,0.06000
8,0,0.18000
9,1,0.65000
10,0,0.11000
11,0,0.11000
12,1,0.60000
13,1,0.91000
14,1,0.95000
15,1,0.80000
16,0,0.35000
17,0,0.04000
18,1,0.92000
19,0,0.29000
20,1,0.79000
21,0,0.16000
22,1,0.59000
23,0,0.04000
24,0,0.08000
25,0,0.08000
26,0,0.09000
27,1,0.62000
28,0,0.03000
29,0,0.04000
30,0,0.22000
31,1,0.87000
32,0,0.10000
33,0,0.07000
34,0,0.03000
35,0,0.08000
36,0,0.10000
37,0,0.14000
38,0,0.28000
39,1,0.66000
40,1,0.58000
41,0,0.13000
42,1,0.84000
43,0,0.11000
44,1,0.94000
45,0,0.23000
46,0,0.15000
47,1,0.69000
48,0,0.29000
49,1,0.63000
50,0,0.07000
51,0,0.07000
52,1,0.59000
53,0,0.17000
54,0,0.35000
55,0,0.30000
56,0,0.05000
57,0,0.35000
58,0,0.13000
59,1,0.69000
60,0,0.05000
61,0,0.06000
62,0,0.32000
63,0,0.10000
64,0,0.20000
65,0,0.09000
66,0,0.01000
67,0,0.17000
68,0,0.10000
69,0,0.28000
70,0,0.04000
71,1,0.55000
72,0,0.09000
73,0,0.18000
74,1,0.56000
75,0,0.06000
76,0,0.34000
77,0,0.07000
78,0,0.03000
79,0,0.16000
80,0,0.04000
81,1,0.78000
82,0,0.05000
83,1,0.75000
84,0,0.11000
85,0,0.07000
86,0,0.37000
87,0,0.09000
88,0,0.07000
89,0,0.10000
90,0,0.44000
91,0,0.08000
92,0,0.17000
93,0,0.27000
94,0,0.23000
95,0,0.09000
96,1,0.55000
97,0,0.25000
98,1,0.89000
99,0,0.24000
100,0,0.14000
101,1,0.71000
102,0,0.07000
103,0,0.32000
104,0,0.20000
105,0,0.14000
106,0,0.10000
107,0,0.10000
108,0,0.16000
109,0,0.35000
110,0,0.02000
111,0,0.22000
112,0,0.04000
113,0,0.40000
114,0,0.09000
115,0,0.04000
116,0,0.08000
117,0,0.41000
118,0,0.48000
119,0,0.11000
120,0,0.01000
121,1,0.82000
122,0,0.06000
123,1,0.58000
124,0,0.01000
125,1,0.54000
126,0,0.07000
127,0,0.46000
128,0,0.04000
129,0,0.13000
130,0,0.13000
131,0,0.02000
132,0,0.03000
133,0,0.37000
134,0,0.09000
135,0,0.20000
136,0,0.06000
137,0,0.21000
138,0,0.32000
139,0,0.11000
140,0,0.07000
141,0,0.26000
142,0,0.43000
143,1,0.53000
144,1,0.54000
145,0,0.05000
146,1,0.68000
147,0,0.44000
148,1,0.61000
149,0,0.05000
150,0,0.14000
151,0,0.32000
152,1,0.73000
153,0,0.05000
154,0,0.25000
155,0,0.06000
156,0,0.05000
157,1,0.86000
158,1,0.57000
159,0,0.30000
160,0,0.03000
161,0,0.19000
162,0,0.25000
163,0,0.20000
164,0,0.10000
165,0,0.09000
166,1,0.54000
167,1,0.77000
168,0,0.07000
169,1,0.91000
170,1,0.55000
171,0,0.06000
172,0,0.20000
173,0,0.37000
174,0,0.05000
175,0,0.17000
176,0,0.17000
177,0,0.08000
178,0,0.05000
179,0,0.29000
180,0,0.49000
181,0,0.44000
182,0,0.05000
183,1,0.89000
184,1,0.83000
185,1,0.66000
186,0,0.08000
187,0,0.03000
