# GeoID, y_pred, y_predprob
1,0,0.03805
2,0,0.09513
3,0,0.14610
4,0,0.00502
5,0,0.01604
6,0,0.01687
7,0,0.00150
8,0,0.00443
9,0,0.03210
10,0,0.04453
11,0,0.02034
12,0,0.23556
13,0,0.60483
14,0,0.70059
15,0,0.34717
16,0,0.00208
17,0,0.11059
18,0,0.36605
19,0,0.00140
20,0,0.19740
21,0,0.00019
22,0,0.13940
23,0,0.04169
24,0,0.00137
25,0,0.00834
26,0,0.31567
27,0,0.41100
28,0,0.19026
29,0,0.18356
30,0,0.00322
31,0,0.44462
32,0,0.02614
33,0,0.05103
34,0,0.01649
35,0,0.00712
36,0,0.00099
37,0,0.00483
38,0,0.01355
39,0,0.29646
40,0,0.19706
41,0,0.02818
42,0,0.33998
43,0,0.35901
44,0,0.64721
45,0,0.01129
46,0,0.00133
47,0,0.35619
48,0,0.20859
49,0,0.01120
50,0,0.04438
51,0,0.03154
52,0,0.12670
53,0,0.01785
54,0,0.45399
55,0,0.02982
56,0,0.00345
57,0,0.09169
58,0,0.01393
59,0,0.16176
60,0,0.00063
61,0,0.00172
62,0,0.01246
63,0,0.00124
64,0,0.20960
65,0,0.17392
66,0,0.01620
67,0,0.00330
68,0,0.00051
69,0,0.00903
70,0,0.00039
71,0,0.15891
72,0,0.00161
73,0,0.00013
74,0,0.10054
75,0,0.00595
76,0,0.02538
77,0,0.01311
78,0,0.05992
79,0,0.00238
80,0,0.00096
81,0,0.21065
82,0,0.00092
83,0,0.07561
84,0,0.04522
85,0,0.00903
86,0,0.06797
87,0,0.00087
88,0,0.00065
89,0,0.00091
90,0,0.14522
91,0,0.00093
92,0,0.01124
93,0,0.01249
94,0,0.08784
95,0,0.10567
96,0,0.26394
97,0,0.19619
98,0,0.47164
99,0,0.03498
100,0,0.00618
101,0,0.31508
102,0,0.00417
103,0,0.21874
104,0,0.20357
105,0,0.00144
106,0,0.00364
107,0,0.00894
108,0,0.01976
109,0,0.03014
110,0,0.00072
111,0,0.00016
112,0,0.04032
113,0,0.17310
114,0,0.14259
115,0,0.00025
116,0,0.00024
117,0,0.14869
118,0,0.04839
119,0,0.01010
120,0,0.00007
121,0,0.59099
122,0,0.00004
123,0,0.13099
124,0,0.00004
125,0,0.19463
126,0,0.04682
127,0,0.14288
128,0,0.00123
129,0,0.00489
130,0,0.01458
131,0,0.00042
132,0,0.00011
133,0,0.18472
134,0,0.05974
135,0,0.04947
136,0,0.02142
137,0,0.08488
138,0,0.31398
139,0,0.00034
140,0,0.00012
141,0,0.02653
142,0,0.00051
143,0,0.00094
144,0,0.06691
145,0,0.10284
146,0,0.19111
147,0,0.02672
148,0,0.05472
149,0,0.00007
150,0,0.01854
151,0,0.25516
152,0,0.00476
153,0,0.00024
154,0,0.00036
155,0,0.02781
156,0,0.00007
157,0,0.31789
158,0,0.00772
159,0,0.02169
160,0,0.00005
161,0,0.11756
162,0,0.08037
163,0,0.09497
164,0,0.01930
165,0,0.00504
166,0,0.00515
167,0,0.01864
168,0,0.00006
169,0,0.34717
170,0,0.09095
171,0,0.00006
172,0,0.00114
173,0,0.13748
174,0,0.00012
175,0,0.06766
176,0,0.13679
177,0,0.00908
178,0,0.00253
179,0,0.05693
180,0,0.24342
181,0,0.12381
182,0,0.00080
183,0,0.56216
184,0,0.29015
