OBJECTID,Elevation,Slope,Aspect,坡高,斜坡形态,地形表面纹理,TRI,地形位置指数,地形表面凸率,地形汇聚指数,相对坡位,平面曲率,剖面曲率,Curvature,River,流域面积,流路长度,地形湿度指数,河谷深度,流域坡度,河流强度指数 ,距河网垂直距离,Lithology,斜坡结构,NDVI,NDWI,Rainfall,Earthquake,NDBI,class
54,222.565327,17.144932,250.288694,42.942611,3.992462,0.561165,6.485504,-0.185726,0.460956,-0.599152,0.540078,0.003325,0.029185,-0.025861,330.716254,14476.40786,950.235198,12.152064,51.975472,0.301625,-8908.527517,132.487828,2,6,0.558425,0.303377,1139.568359,1.899324,-0.303432,0
65,402.466772,16.64588,222.975393,34.983379,4.462025,0.576543,6.337717,0.284511,0.481008,1.10673,0.475653,0.046479,0.015824,0.030655,1606.077342,7809.626369,470.400858,12.142102,33.980741,0.266729,-15358.26143,92.602341,2,7,0.716782,0.264066,1138.633545,1.964864,-0.261675,0
66,335.403077,14.09136,154.164689,19.702037,3.156923,0.621859,5.414166,-0.760083,0.42577,-3.463783,0.468911,-0.049828,0.041827,-0.091655,1523.396761,11516.81755,328.882386,11.762107,25.927984,0.247605,-2951.453672,109.411426,2,7,0.692994,0.275606,1138.73291,1.960675,-0.276213,0
56,288.807339,12.949124,229.800631,19.64333,3.834862,0.658452,4.863922,-0.333251,0.460915,-1.09984,0.428573,-0.003836,0.016716,-0.020552,948.100016,6101.193468,380.052199,11.472663,17.17707,0.216529,20061.8776,69.02981,2,7,0.655409,0.251574,1138.775024,1.944518,-0.247671,0
64,206.24,14.371999,287.747755,33.718759,4.4,0.629338,5.365423,0.515811,0.431656,2.40951,0.550247,0.053992,-0.016846,0.070837,317.155034,8238.097386,668.822059,11.744472,28.508203,0.248608,-7829.030529,135.221624,2,6,0.45232,0.3183,1139.935303,1.898782,-0.313128,0
78,431.099391,15.388118,206.532721,32.261937,3.910751,0.649682,5.836179,0.025053,0.479079,-0.123477,0.495508,0.019513,0.025162,-0.005649,1264.090674,11866.29276,441.578555,12.011681,27.173178,0.255876,-4312.123462,44.729371,2,7,0.737005,0.283619,1139.423218,1.965766,-0.284635,0
81,264.612626,17.022581,141.152912,64.470983,4.378766,0.574486,6.586923,1.399783,0.496581,1.342552,0.487532,0.004699,-0.105792,0.110491,208.138087,6516.654498,455.775832,11.811405,30.655413,0.222172,6603.359249,120.618468,2,3,0.698984,0.278895,1141.877075,1.956902,-0.28027,1
80,208.659713,11.078103,152.985049,12.150406,3.779661,0.713152,4.211979,-0.32968,0.436446,-2.009761,0.419917,0.006868,0.037969,-0.029522,2172.063602,6415.372266,199.992219,11.582683,14.151839,0.17342,3644.392401,103.099119,2,7,0.71381,0.272764,1143.422241,2.066531,-0.273236,0
58,258.204134,11.191464,220.283208,23.148377,3.677003,0.685301,4.254662,-0.380334,0.461032,-1.488987,0.445646,-0.019624,0.034506,-0.05413,688.356649,11596.20525,282.328722,11.798062,21.634953,0.180887,10114.81002,64.368846,2,7,0.649316,0.257702,1139.838623,1.958252,-0.255541,0
70,388.057143,7.807913,193.598416,32.09375,3.314286,0.633529,3.082404,-0.460232,0.481749,-5.898283,0.528859,-0.030682,0.135382,-0.166065,964.30069,3502.839624,216.766134,10.939971,8.365964,0.128985,-8645.414214,52.154578,2,6,0.614232,0.248973,1138.908081,1.963286,-0.247878,0
